"MEAN_RR","HR","RMSSD","MEDIAN_RR","higuci","pNN50","SD2","pNN25","SDRR_RMSSD","TP","condition"
840.101576,72.42930053,14.46354007,831.99823,1.211530689,1,145.1522438,5.2,7.113937215,4031.385328,3
993.5204534,62.43564386,20.29421339,973.59277,1.140727143,2.866666667,248.8326365,12.86666667,8.684435538,6138.649615,2
756.242809,80.42411633,10.75202809,764.12211,1.187011967,0,119.8897076,2.4,7.900389445,2009.181538,2
736.8415207,82.89156542,15.16012283,753.545545,1.272190332,0.133333333,126.5443153,10.2,5.923499761,2512.678901,2
799.753761,75.35318025,12.5477609,797.70753,1.151171846,0,74.67483883,3.8,4.237786612,1612.675557,1
780.3814128,77.12249008,11.24540473,779.87887,1.151731434,0,60.53546789,2.733333333,3.839167555,1166.888773,2
1008.522487,60.00318729,23.20094855,1009.4111,1.23725903,2.333333333,127.4755214,31.2,3.917197359,3894.731469,1
738.6445523,86.00608168,21.00416931,700.474325,1.167773585,3.266666667,263.6614983,14.86666667,8.890262967,8575.77886,2
808.7197062,75.04486515,14.01761169,818.148775,1.177035515,0.866666667,115.900225,6.2,5.867845424,2078.695674,1
937.9118765,65.13102172,16.88281826,921.12373,1.125707501,1.066666667,179.9274818,13.53333333,7.552521893,4338.980479,2
1172.569202,54.41279726,15.78352359,1172.4014,1.038066565,1.133333333,395.0607316,11.06666667,17.70589844,9010.740044,3
855.366947,75.12392591,17.43947019,781.740375,1.125184777,1.866666667,334.3748716,10.46666667,13.5669,8756.421665,1
1036.843296,58.18058168,18.92451392,1033.78855,1.175237181,0.533333333,106.7164023,18.4,4.018661968,3098.632107,1
892.3392825,67.71022866,13.70190151,893.859205,1.18244703,0,103.2662468,6.6,5.352626392,2893.959015,3
773.508609,78.66697224,13.39447569,786.439075,1.194960604,0.6,123.0168039,4.933333333,6.513403409,2222.822434,1
843.3009336,71.47233085,13.08395145,842.964725,1.267909516,0.266666667,79.26437323,5.4,4.31285018,1616.659331,3
774.6819589,78.16204954,15.00066463,783.42472,1.137519777,1.333333333,97.83223502,6.533333333,4.638695479,2437.704089,2
991.0579937,61.0950982,21.87379222,993.94882,1.223473898,1.333333333,128.9861844,27.86666667,4.199582578,3996.574469,1
657.210361,96.69118517,14.76573279,662.820075,1.197609293,1.2,220.5286621,7.466666667,10.57259257,5201.833157,2
1055.528496,57.22547156,11.30086476,1068.08625,1.131733302,0,117.1016469,2.466666667,7.344222195,1984.534692,3
827.0442924,73.05459631,11.96641256,832.119275,1.199313424,0,96.0506892,3.6,5.697721555,2025.376755,2
888.2898238,68.35171619,16.09105817,904.76535,1.188658443,0.266666667,131.1641241,12.26666667,5.785546996,3403.982759,2
1110.488608,54.83016891,18.52545217,1105.3748,1.085268131,0.733333333,191.3861842,18.26666667,7.32221286,5931.305487,3
714.0265848,84.85069556,12.75502214,710.339405,1.291847985,0.066666667,98.95277414,6,5.508450781,1141.321022,2
726.8149085,82.77229493,10.03447814,728.83634,1.305827305,0,52.01963163,1.2,3.699669541,753.5214821,2
779.1991404,78.13666391,13.42377378,782.201505,1.21955514,0.333333333,121.2299094,6.866666667,6.405428645,2022.776944,2
1028.929259,58.84006129,21.98314877,1023.6478,1.153340083,2,136.3656338,27.13333333,4.414741791,4599.71826,1
882.0573071,68.93195015,21.50084022,885.949035,1.203401396,1.333333333,139.5722355,26.13333333,4.617337741,4019.110153,1
766.2531716,78.91311504,9.774335684,770.59323,1.155823268,0,92.40709823,1.533333333,6.703710631,1721.77396,1
746.6005451,80.9511128,9.772591659,752.00825,1.211426593,0,87.89859363,1.666666667,6.379637498,1006.554302,2
754.6471248,80.21288198,9.953006998,758.525985,1.194406749,0,97.27099707,1.666666667,6.928649469,1522.530618,2
1019.354584,59.28619775,20.90998186,1014.81975,1.178216912,1.333333333,120.6714777,24.66666667,4.111249563,3630.891597,1
731.4425649,82.98215795,23.04338969,726.271775,1.223111586,2.066666667,110.4145574,29.93333333,3.424886605,3660.581229,1
969.1865139,62.31840993,14.17448038,976.76637,1.157954754,0.866666667,107.673263,7.066666667,5.394614279,2135.799547,1
832.1089506,74.4442449,13.66365569,854.12329,1.149021104,1.066666667,184.2213522,6.666666667,9.546735929,3133.161828,2
762.4536918,79.21190703,16.42125921,763.71553,1.306540726,0.066666667,85.24364371,13.26666667,3.704549605,1819.41762,1
962.2229714,64.74640046,17.98689743,1007.91345,1.183164633,1.4,246.8392204,13.93333333,9.716704397,3509.74765,1
832.2037042,75.24705232,21.42881603,843.85382,1.168475828,3.133333333,235.8784658,18.2,7.799557148,4169.581276,3
788.8900453,76.34542736,10.960742,791.41443,1.301504076,0,67.07092109,2.266666667,4.355736059,784.1246162,1
748.6547513,80.41475103,14.67607754,751.2759,1.345857708,0.066666667,59.85545674,8.733333333,2.926941975,1075.418749,1
986.4682792,61.3225915,18.41191671,997.92503,1.217861344,1.266666667,120.905212,14.4,4.670206062,2976.368676,3
836.4240846,72.4576232,13.9848644,837.347965,1.193599245,0,115.8732257,7.4,5.880126212,2265.674434,1
897.0765562,67.46790953,10.2304081,895.92236,1.212315014,0,115.3985923,1.666666667,7.991802133,1173.370874,3
876.4387229,69.0738013,16.07627117,883.09467,1.210185716,0.4,110.2773133,11.53333333,4.876212147,2766.142032,2
747.9671326,81.49079948,9.974485177,731.602015,1.143089561,0.333333333,153.4497435,1.6,10.88978354,2611.548294,2
756.8311772,80.88597499,16.85621865,766.34877,1.159487963,2.2,142.3370729,9.4,5.991854118,3550.624379,2
991.3391025,64.74515581,17.79904079,985.834885,1.106301668,1.933333333,314.921178,12.8,12.52094328,6728.848504,3
1083.946064,57.9418921,15.87091823,1064.5322,1.061278515,1.866666667,328.1702504,9.466666667,14.62972234,6555.370746,3
733.2891053,82.39575991,9.388606069,735.51832,1.143317771,0,84.64860817,0.866666667,6.394932372,1806.605925,2
791.0720894,76.17666112,12.2174424,789.412455,1.148789493,0.266666667,72.85848506,2.866666667,4.246376925,1494.671443,2
914.4555777,66.53142574,17.69475145,933.617025,1.201511427,1.2,144.776383,14.6,5.807042641,3795.434455,2
937.5361721,64.96030747,14.21498203,931.676755,1.103723637,0.466666667,160.1583111,7.6,7.982561776,3602.28071,3
1201.671043,55.54888386,16.20721797,1309.7566,1.07720587,1.8,488.3779655,8.933333333,21.31336989,5211.698418,2
883.6450765,68.85090586,14.4166667,885.86007,1.188900656,0.933333333,145.7081777,5.8,7.164156406,3090.756625,2
718.5053091,86.58073223,14.87826395,677.714805,1.168150228,1.933333333,221.2929461,6.6,10.5290908,5393.246558,2
847.7591793,81.67168078,13.29189816,692.99095,1.116246195,0.6,516.7916515,7.266666667,27.49698762,5470.768055,2
820.2561273,73.39329818,8.597332688,824.762425,1.237226791,0,66.32041718,1,5.477553887,715.9305304,3
668.2972465,90.69235295,11.88258571,662.14294,1.152260852,0.466666667,91.06477897,4,5.44209922,2066.712735,2
889.3702314,68.67105698,17.82875958,893.07243,1.148904286,2.066666667,154.9734634,10.33333333,6.166722525,4442.98264,3
865.1265716,70.11210087,11.86324195,882.696435,1.221389505,0,121.8281834,3.466666667,7.278755009,1728.95528,2
1209.530999,52.57143533,14.86262499,1121.5487,1.139000754,0.6,422.3140272,10.4,20.09830873,4232.654071,1
956.0342176,63.7817163,15.60975756,951.96113,1.127600155,0.266666667,168.861348,11.4,7.665588179,3994.397163,2
695.9167813,86.60427917,9.779912179,689.446315,1.167651904,0,66.49658169,2.4,4.833778992,1194.373728,2
777.0616996,77.58670474,12.66426555,780.573305,1.281203044,0.4,73.96331737,3.4,4.15990338,1253.324205,2
902.6613724,67.14329914,22.63307543,905.315615,1.221441759,1.466666667,125.8203316,30,3.962595133,3794.864342,1
1211.084224,53.00408076,16.84035382,1216.5268,1.05798779,2.266666667,419.1220164,7.933333333,17.60554995,5823.861167,1
